ADC1:1
ADC2:1
ADC3:1
ADC4:1
ADC5:1
C1:1
C11:1
C15:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
H1:1
H2:1
H3:1
H4:1
IC1:1
J1:1
SW10:1
U1:1
U3:1
Y1:1
